"msID","msNameAirMo","msCode_PS","msOrt","msOrtsteil","msKT","spID","spXCoord","spYCoord","spHoehe","spBisDatum","scID","scVerkehrslage","scSiedlungsgroesse","scLagerelativSiedlung","scSpezialinfo","scIDBStandorttyp","scIDBStationstyp","scIDBBebauung","scIDBVerkehr","scBisDatum"
1285,"8105_0070","8105_0070","Regensdorf","Feldstrasse","ZH",950,2678120,1254544,441,,2419,"S12","H11","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1289,"8104_0070","8104_0070","Weiningen","Zürcherstrasse","ZH",954,2675878,1252143,416,,2423,"S12","H11","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1290,"8185_0010","8185_0010","Winkel","Niederrüti","ZH",955,2684108,1259212,436,,2424,"S0","H11","Randzonen","A2","Ländlich","Verkehr","offen","5&apos;000 - 20&apos;000",
1297,"8706_0030","8706_0030","Meilen","Fähre","ZH",962,2690839,1235940,409,,2432,"S12","H11","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1298,"8820_0030","8820_0030","Wädenswil","Zugerstrasse","ZH",963,2693209,1231700,419,,2433,"S0","H23","Zentrum","A1","Städtisch","Verkehr","einseitig offen","&lt; 5&apos;000",
1300,"8000_1770","8000_1770","Zürich","Manessestrasse 34","ZH",967,2682011,1246986,415,,2440,"S22","H33","Zentrum","A2","Städtisch","Verkehr","einseitig offen","&gt; 50&apos;000",
1301,"8000_1490","8000_1490","Zürich","Wasserwerkstrasse 18","ZH",966,2683149,1248650,415,,2441,"S23","H33","Zentrum","A2","Städtisch","Verkehr","geschlossen","20&apos;000 - 50&apos;000",
1302,"8000_1050","8000_1050","Zürich","Seebahnstrasse 229","ZH",965,2681593,1248060,410,,2442,"S12","H33","Zentrum","A2","Städtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1309,"Bau_Oberstufenschulhaus",,"Bauma","Oberstufenschulhaus","ZH",975,2708970,1247320,640,,2451,"S0","H13","Zentrum","A3","Ländlich","Hintergrund","einseitig offen","&lt; 5&apos;000",
1312,"Wal_Feuerwehrdepot",,"Wald","Feuerwehrdepot","ZH",978,2711719,1236440,613,,2454,"S0","H11","Randzonen","A3","Ländlich","Hintergrund","einseitig offen","5&apos;000 - 20&apos;000",
1313,"Zch_Bullingerhof",,"Zürich","Bullingerhof","ZH",979,2681189,1248091,411,,2455,"S00","H32","Wohngebiete","A2","Städtisch","Hintergrund","geschlossen","&lt; 5&apos;000",
1314,"Brü_Säntis",,"Brütten","Säntisstrasse","ZH",980,2693324,1258946,630,,2456,"S0","H11","Randzonen","A2","Ländlich","Hintergrund","offen","&lt; 5&apos;000",
1315,"Zch_Aubrücke",,"Zürich","Aubrücke","ZH",981,2685497,1251608,427,,2457,"S00","H31","Randzonen","A2","Städtisch","Hintergrund","offen","&lt; 5&apos;000",
1319,"8000_2220","8000_2220","Zürich","Saatlenstrasse Unterführung","ZH",985,2685118,1251318,430,,2461,"S0","H32","Wohngebiete","A2","Städtisch","Hintergrund","offen","&lt; 5&apos;000",
1320,"8000_2230","8000_2230","Zürich","Überlandstrasse 200","ZH",986,2685435,1251641,425,,2462,"S00","H32","Wohngebiete","A2","Städtisch","Hintergrund","einseitig offen","&lt; 5&apos;000",
